priority,gap_score,company,company_product_count,company_priority_rank,brand,standard_product_name,product_id,seed_record_id,product_family_ids,track,form,technology,material_or_energy,verification_status,source_status,direct_official_urls,fuzzy_official_urls,direct_spec_candidates,fuzzy_spec_candidates,spec_tier_A,spec_tier_B,spec_tier_C,registration_rows,official_indication_rows,mdr_ce_candidate_rows,lead_official_url,lead_spec_url,lead_registration_url,evidence_mix,issues,recommended_next_action
P2,30,Dongkook Pharma,5,,Nabota,Nabota,prod_f3262e00d428,REC_0963,pf_f9777fcdb264,Injectables,Neurotoxin,Botulinum Toxin A,Botulinum Toxin A,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page",10,0,67,0,19,48,9,0,0,18,https://www.cphi-online.com/nabota-prod1257850.html,https://www.nabotasea.com/,https://www.dermaxmed.com/Nabota-100ui-Botulinum-Toxin-Type-A-pd504563968.html,ce_notified_body_certificate:5; official_search_excerpt_spec_candidate:3; official_site_spec_candidate:2,no_registration_evidence | no_official_indication | has_review_leads,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence."
P2,30,EndyMed Medical,6,,PRO,EndyMed PRO,prod_c050d7c666c9,REC_0954,pf_a2d89616bce3,EBD,Radiofrequency,Bipolar RF,Bipolar RF,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate",23,0,58,0,12,46,6,0,0,18,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfrl/rl.cfm?regnum=111146&start_search=1,https://endymed.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfrl/rl.cfm?regnum=111146&start_search=1,official_search_excerpt_spec_candidate:5; ce_notified_body_certificate:5,no_registration_evidence | no_official_indication | has_review_leads,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence."
P2,30,Only Toujours,1,,Only Toujours,Post-Procedure Mist,prod_ceeb8b9d31c8,REC_0519,pf_549fb7195d40,Skincare,Cosmeceutical,Microbiome Friendly,Microbiome Friendly,unverified_seed,seed_from_workbook,13,0,0,0,0,0,0,0,0,0,https://alliesofskin.com/products/molecular-saviour-probiotics-mist,,,,master_unverified_seed | no_direct_spec_candidate,Cross-check product existence and core positioning against official product page.
P2,30,Quanta System,7,,Quanta,Thunder MT,prod_ada5be5d76c0,REC_0582,pf_b14dfb394b28,EBD,Laser,Nd:YAG Laser,Nd:YAG Laser,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate",24,0,63,0,12,51,8,0,0,18,https://laserandaesthetics.co.uk/manufacturers/suppliers/quanta/quanta-thunder-laser-series/,https://www.quantasystem.com/our-history/,https://storage.mtender.gov.md/get/de3dbe96-7123-4182-8aa9-4dc213edf90f-1627029145629,official_search_excerpt_spec_candidate:5; ce_notified_body_certificate:5,no_registration_evidence | no_official_indication | has_review_leads,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence."
P2,30,Quanta System,7,,Quanta,Youlaser MT,prod_d09b2ffe38d4,REC_0583,pf_167070ac5097,EBD,Laser,CO2 Laser,CO2 Laser,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page",27,0,91,0,25,66,9,0,0,18,https://www.ayamedical.com/youlasermt,https://www.quantasystem.com/our-history/,https://www.quantasystem.com/laser/youlaser-mt/,official_search_excerpt_spec_candidate:5; ce_notified_body_certificate:5,no_registration_evidence | no_official_indication | has_review_leads,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence."
P3,26,Aquavit Pharmaceuticals,3,,Aquagold Ampoules,医用级安瓶,prod_88c99020df94,REC_0043,pf_f7fa159ae0fe,Skincare,Cosmeceutical,Growth Factor / Peptide Ampoule,Growth Factor / Peptide Ampoule,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page",0,8,0,0,0,0,0,0,0,0,https://aquagoldfinetouch.com/pages/aquagold,,,,no_direct_official_product_or_family_url | no_direct_spec_candidate | has_review_leads,Review fuzzy official product/catalog/IFU URL and attach it to product/family.
P3,26,Arkana Cosmetics,4,,Neuro GABA & NANA Peels,神经美容酸/焕肤剂,prod_300c9fa839df,REC_0490,pf_cfed0810d3cc,Skincare,Chemical Peel,Neurocosmetic Peel,Neurocosmetic Peel,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page",0,7,0,0,0,0,0,0,0,0,https://arkanacosmetics.com/cosmetics/neuro-gabanana-cream/,,,,no_direct_official_product_or_family_url | no_direct_spec_candidate | has_review_leads,Review fuzzy official product/catalog/IFU URL and attach it to product/family.
P3,26,BNC Korea,7,,Cutegel,Cutegel NMPA HA filler (deep dermis),prod_bf4ea3166ef3,REC_1031,pf_fe97b7784cb9,Injectables,Dermal Filler,Hyaluronic Acid,Hyaluronic Acid,official_evidence_promoted,"seed_from_workbook, official_evidence_promoted",0,2,0,5,0,5,0,1,1,0,https://www.bnckorea.co.kr/,http://www.bnckorea.co.kr/eng/0201products.asp?ct1=G01&ct2=&seq=45&urlkeyword=Cutegel+Lidocaine,https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw,registration_project_nmpa_supplement_product_line:1; official_nmpa_record_user_directed_product_line:1,no_direct_official_product_or_family_url | no_direct_spec_candidate | has_review_leads,Review fuzzy official product/catalog/IFU URL and attach it to product/family.
P3,26,BNC Korea,7,,Cutegel,Cutegel NMPA HA filler (middle dermis),prod_6bddba58542f,REC_1032,pf_49fd6928b8c2,Injectables,Dermal Filler,Hyaluronic Acid,Hyaluronic Acid,official_evidence_promoted,"seed_from_workbook, official_evidence_promoted",0,2,0,5,0,5,0,1,1,0,https://www.bnckorea.co.kr/,http://www.bnckorea.co.kr/eng/0201products.asp?ct1=G01&ct2=&seq=45&urlkeyword=Cutegel+Lidocaine,https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw,registration_project_nmpa_supplement_product_line:1; official_nmpa_record_user_directed_product_line:1,no_direct_official_product_or_family_url | no_direct_spec_candidate | has_review_leads,Review fuzzy official product/catalog/IFU URL and attach it to product/family.
P3,26,BNC Korea,7,,Cutegel Lidocaine,Cutegel Lidocaine NMPA HA filler (middle dermis),prod_15c04124bfb8,REC_1030,pf_968395d6fe34,Injectables,Dermal Filler,Hyaluronic Acid,Hyaluronic Acid,official_evidence_promoted,"seed_from_workbook, official_evidence_promoted",0,1,0,5,0,5,0,1,1,0,http://www.bnckorea.co.kr/eng/0201products.asp?ct1=G01&ct2=&seq=45&urlkeyword=Cutegel+Lidocaine,http://www.bnckorea.co.kr/eng/0201products.asp?ct1=G01&ct2=&seq=45&urlkeyword=Cutegel+Lidocaine,https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw,registration_project_nmpa_supplement_product_line:1; official_nmpa_record_user_directed_product_line:1,no_direct_official_product_or_family_url | no_direct_spec_candidate | has_review_leads,Review fuzzy official product/catalog/IFU URL and attach it to product/family.
