queue_id,priority,source_table,source_row_key,triage_bucket,product_id,seed_record_id,company_id,company,brand,jurisdiction,regulator,regulatory_pathway,status,registration_no,approval_date,registered_name,source_type,source_key,source_url,evidence_title,review_status,confidence,suggested_action,generated_at
registration-103,P1,registration_evidence,103,new_product_candidate_resolution,,,co_7a6f66b2861e,InMode,InMode,US,FDA,510(k),Substantially Equivalent,K210492,2021-07-12,InMode RF Pro System,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210492,K210492 · InMode RF Pro System,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-104,P1,registration_evidence,104,new_product_candidate_resolution,,,co_7a6f66b2861e,InMode,InMode,US,FDA,510(k),Substantially Equivalent,K142952,2015-01-13,InMode Diolaze Device,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K142952,K142952 · InMode Diolaze Device,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-105,P1,registration_evidence,105,new_product_candidate_resolution,,,co_7a6f66b2861e,InMode,InMode,US,FDA,510(k),Substantially Equivalent,K201150,2020-07-22,InMode RF Multi-System,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K201150,K201150 · InMode RF Multi-System,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-106,P1,registration_evidence,106,new_product_candidate_resolution,,,co_7a6f66b2861e,InMode,InMode,US,FDA,510(k),Substantially Equivalent,K123682,2013-02-27,INMODE HAIR REMOVAL (HR) DEVICE,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K123682,K123682 · INMODE HAIR REMOVAL (HR) DEVICE,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-107,P1,registration_evidence,107,new_product_candidate_resolution,,,co_7a6f66b2861e,InMode,InMode,US,FDA,510(k),Substantially Equivalent,K123860,2013-04-02,INMODE SR IPL DEVICE,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K123860,K123860 · INMODE SR IPL DEVICE,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-217,P1,registration_evidence,217,new_product_candidate_resolution,,,co_95e23865086b,Lutronic / Cynosure Lutronic,,US,FDA,510(k),Substantially Equivalent,K091320,2009-08-19,"SPECTRA SP II, SPECTRA DENTA II",official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K091320,"K091320 · SPECTRA SP II, SPECTRA DENTA II",manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-219,P1,registration_evidence,219,new_product_candidate_resolution,,,co_95e23865086b,Lutronic / Cynosure Lutronic,,US,FDA,510(k),Substantially Equivalent,K113502,2012-04-05,ADVANTAGE LASER SYSTEM,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K113502,K113502 · ADVANTAGE LASER SYSTEM,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-263,P1,registration_evidence,263,new_product_candidate_resolution,,,co_899ad9993fec,Quanta System,,US,FDA,510(k),Substantially Equivalent,K241092,2024-10-10,Youlaser PRIME; Youlaser PRIME CO2; Youlaser PRIME MT,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K241092,K241092 · Youlaser PRIME; Youlaser PRIME CO2; Youlaser PRIME MT,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-264,P1,registration_evidence,264,new_product_candidate_resolution,,,co_899ad9993fec,Quanta System,,US,FDA,510(k),Substantially Equivalent,K231971,2023-09-26,DEKA PHYSIQ 360,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231971,K231971 · DEKA PHYSIQ 360,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-265,P1,registration_evidence,265,new_product_candidate_resolution,,,co_899ad9993fec,Quanta System,,US,FDA,510(k),Substantially Equivalent,K150516,2015-04-13,DEKA SYNCHRO REPLA:Y FAMILY OF LASER SYSTEMS,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K150516,K150516 · DEKA SYNCHRO REPLA:Y FAMILY OF LASER SYSTEMS,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-266,P1,registration_evidence,266,new_product_candidate_resolution,,,co_899ad9993fec,Quanta System,,US,FDA,510(k),Substantially Equivalent,K233473,2024-05-16,DEKA LOTUS,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233473,K233473 · DEKA LOTUS,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-178,P1,registration_evidence,178,new_product_candidate_resolution,,,co_b4bfde6de1f8,Sciton,,US,FDA,510(k),Substantially Equivalent,K070388,2007-05-02,PROFILE MULTI-PLATFORM SYSTEM,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K070388,K070388 · PROFILE MULTI-PLATFORM SYSTEM,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-179,P1,registration_evidence,179,new_product_candidate_resolution,,,co_b4bfde6de1f8,Sciton,,US,FDA,510(k),Substantially Equivalent,K022466,2002-12-31,PROFILE 1320 LASER SYSTEM,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K022466,K022466 · PROFILE 1320 LASER SYSTEM,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-180,P1,registration_evidence,180,new_product_candidate_resolution,,,co_b4bfde6de1f8,Sciton,,US,FDA,510(k),Substantially Equivalent,K101916,2011-03-18,JOULE MULTI-PLATFORM SYSTEM,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K101916,K101916 · JOULE MULTI-PLATFORM SYSTEM,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-181,P1,registration_evidence,181,new_product_candidate_resolution,,,co_b4bfde6de1f8,Sciton,,US,FDA,510(k),Substantially Equivalent,K003046,2000-11-24,IMAGE VASCULAR LASER,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K003046,K003046 · IMAGE VASCULAR LASER,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
